location_country,date_year,stem_percent_female_graduates
Luxembourg,2008,48.18181992
Luxembourg,2012,41.05263138
Luxembourg,2013,31.37254906
Luxembourg,2014,27.62645912
Macao,2005,18.80878067
Macao,2006,13.75839043
Macao,2007,17.03704071
Macao,2008,10.90225983
Macao,2009,16.15119934
Macao,2010,15.47618961
Macao,2011,15.92039967
Macao,2012,14.63414955
Macao,2013,17.71772003
Macao,2014,19.85112
Madagascar,2005,31.63462067
Madagascar,2006,35.01850128
Madagascar,2007,33.16601181
Madagascar,2008,30.56488991
Madagascar,2009,28.28344917
Madagascar,2010,30.29986
Madagascar,2013,28.22565079
Malaysia,2004,42.72360992
Malaysia,2006,45.68444824
Malaysia,2007,42.17798996
Malaysia,2008,41.81922913
Malaysia,2009,41.70631027
Malaysia,2010,42.18386841
Malaysia,2011,42.08964157
Malaysia,2012,45.87900925
Malaysia,2013,44.88422012
Malaysia,2014,43.12147141
Malta,2000,20.58823967
Malta,2001,26.34408951
Malta,2002,25.64102936
Malta,2003,26.37363052
Malta,2004,30.66037941
Malta,2005,30.09708977
Malta,2006,25.92593002
Malta,2007,37.76721954
Malta,2008,28.41226006
Malta,2009,30.6074791
Malta,2010,32.25151825
Malta,2011,30.72702026
Malta,2012,24.9244709
Mauritania,2015,33.54922104
Mauritius,2014,40.88441086
Mexico,2000,31.38614082
Mexico,2001,32.12704086
Mexico,2002,32.91511154
Mexico,2003,34.32789993
Mexico,2005,33.28253174
Mexico,2006,33.8921814
Mexico,2007,33.59735107
Mexico,2008,33.85665131
Mexico,2009,33.38927841
Mexico,2010,33.01015854
Mexico,2011,32.37514114
Mexico,2012,32.00807953
Moldova,2013,34.26018906
Mongolia,1999,51.26371002
Mongolia,2000,49.4928093
Mongolia,2001,49.7674408
Mongolia,2002,51.5250206
Mongolia,2003,51.22584152
Mongolia,2004,51.12443924
Mongolia,2005,51.40880966
Mongolia,2006,47.73469925
Mongolia,2007,47.14445877
Mongolia,2008,47.85951996
Mongolia,2009,44.60176849
Mongolia,2010,42.52814865
Mongolia,2011,40.83121872
Mongolia,2013,40.71969986
Mongolia,2014,40.39131927
Morocco,2001,28.13546944
Morocco,2007,20.17118073
Morocco,2008,16.83247948
Morocco,2009,36.73889923
Morocco,2010,38.44699097
Mozambique,2004,22.90249062
Mozambique,2005,13.21185017
Mozambique,2008,21.10817909
Mozambique,2009,21.00839996
Mozambique,2010,23.39089012
Mozambique,2011,20.20088959
